E:    100 | Average:     	0.0120 | Best average:     0.0128 | Last score:    -0.0100 | Good shots avg: 0.0
E:    200 | Average:     0.0180 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    300 | Average:     0.0080 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    400 | Average:     0.0130 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    500 | Average:     0.0070 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    600 | Average:     0.0090 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    700 | Average:     0.0070 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    800 | Average:     0.0120 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:    900 | Average:     0.0110 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1000 | Average:     0.0150 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1100 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1200 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1300 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1400 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1500 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1600 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1700 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1800 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   1900 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2000 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2100 | Average:    -0.0100 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2200 | Average:    -0.0090 | Best average:     0.0180 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2300 | Average:     0.0030 | Best average:     0.0180 | Last score:     0.0900 | Good shots avg: 0.0
E:   2400 | Average:     0.0340 | Best average:     0.0360 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2500 | Average:     0.0130 | Best average:     0.0360 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2600 | Average:     0.0200 | Best average:     0.0360 | Last score:     0.0900 | Good shots avg: 0.0
E:   2700 | Average:     0.0320 | Best average:     0.0360 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2800 | Average:     0.0570 | Best average:     0.0620 | Last score:    -0.0100 | Good shots avg: 0.0
E:   2900 | Average:     0.0750 | Best average:     0.0750 | Last score:     0.0900 | Good shots avg: 0.0
E:   3000 | Average:     0.0970 | Best average:     0.0970 | Last score:     0.0900 | Good shots avg: 0.0
E:   3100 | Average:     0.1539 | Best average:     0.1559 | Last score:     0.0900 | Good shots avg: 0.0
E:   3200 | Average:     0.1540 | Best average:     0.1590 | Last score:     0.2900 | Good shots avg: 0.0
E:   3300 | Average:     0.1670 | Best average:     0.1740 | Last score:     0.0900 | Good shots avg: 0.0
E:   3400 | Average:     0.1880 | Best average:     0.1880 | Last score:     1.1900 | Good shots avg: 0.0
E:   3500 | Average:     0.1987 | Best average:     0.2188 | Last score:     0.3900 | Good shots avg: 0.0
E:   3600 | Average:     0.6248 | Best average:     0.6248 | Last score:     2.1900 | Good shots avg: 0.0
E:   3700 | Average:     2.1396 | Best average:     2.1396 | Last score:     5.3000 | Good shots avg: 0.0
E:   3800 | Average:     2.3373 | Best average:     3.5986 | Last score:     0.1900 | Good shots avg: 0.0
E:   3900 | Average:     1.8071 | Best average:     3.5986 | Last score:     1.8900 | Good shots avg: 0.0
E:   4000 | Average:     2.3615 | Best average:     3.5986 | Last score:    -0.0100 | Good shots avg: 0.0
E:   4100 | Average:     1.9169 | Best average:     3.5986 | Last score:     1.1900 | Good shots avg: 0.0
E:   4200 | Average:     1.5337 | Best average:     3.5986 | Last score:     1.3900 | Good shots avg: 0.0
E:   4300 | Average:     1.8961 | Best average:     3.5986 | Last score:     0.3900 | Good shots avg: 0.0
E:   4400 | Average:     2.3249 | Best average:     3.5986 | Last score:     5.2000 | Good shots avg: 0.0
E:   4500 | Average:     1.9257 | Best average:     3.5986 | Last score:     0.2900 | Good shots avg: 0.0
E:   4600 | Average:     1.1282 | Best average:     3.5986 | Last score:    -0.0100 | Good shots avg: 0.0
E:   4700 | Average:     1.7142 | Best average:     3.5986 | Last score:     1.7900 | Good shots avg: 0.0
E:   4800 | Average:     2.6863 | Best average:     3.5986 | Last score:     2.0900 | Good shots avg: 0.0
E:   4900 | Average:     1.9369 | Best average:     3.5986 | Last score:     0.9900 | Good shots avg: 0.0
E:   5000 | Average:     2.1522 | Best average:     3.5986 | Last score:    -0.0100 | Good shots avg: 0.0
